Time_hr,Time_s,C_app_mgL,C_app_kg_m3,C_corr_mgL,C_cprr_kg_m3,weight
0.1,360,0,0,0,0,1
0.3,1080,0,0,0,0,1
0.5,1800,0,0,0,0,1
0.7,2520,0,0,0,0,1
0.9,3240,0,0,0,0,1
1.1,3960,0,0,0,0,1
1.126256983,4054.525139,0,0,0,0,1
2.413407821,8688.268156,0,0,0,0,1
3.539664804,12742.79329,0,0,0,0,1
4.976407036,17915.06533,0.035123967,3.51E-05,0.035123967,3.51E-05,1
5.916949074,21301.01667,0.112258953,0.000112259,0.112258953,0.000112259,1
7.168641212,25807.10836,0.222451791,0.000222452,0.222451791,0.000222452,1
8.411468674,30281.28723,0.360192837,0.000360193,0.360192837,0.000360193,1
9.201754467,33126.31608,0.404269972,0.00040427,0.404269972,0.00040427,1
10.63871832,38299.38595,0.438705234,0.000438705,0.438705234,0.000438705,1
11.44606861,41205.847,0.429752066,0.000429752,0.429752066,0.000429752,1
13.39718362,48229.86103,0.366391185,0.000366391,0.366391185,0.000366391,1
15.34807701,55253.07724,0.303719008,0.000303719,0.303719008,0.000303719,1
17.46097234,62859.50042,0.237603306,0.000237603,0.237603306,0.000237603,1
19.40144974,69845.21906,0.207300275,0.0002073,0.207300275,0.0002073,1
21.50348585,77412.54906,0.174931129,0.000174931,0.174931129,0.000174931,1
22.79484741,82061.45068,0.16184573,0.000161846,0.16184573,0.000161846,1
23.92398541,86126.34748,0.152892562,0.000152893,0.152892562,0.000152893,1
26.02247565,93680.91234,0.1315427,0.000131543,0.1315427,0.000131543,1
27.95763424,100647.4833,0.117768595,0.000117769,0.117768595,0.000117769,1
30.05302184,108190.8786,0.106060606,0.000106061,0.106060606,0.000106061,1
31.98685073,115152.6626,0.096418733,9.64E-05,0.096418733,9.64E-05,1
32.95354356,118632.7568,0.092286501,9.23E-05,0.092286501,9.23E-05,1
35.20450621,126736.2224,0.097107438,9.71E-05,0.097107438,9.71E-05,1
36.49564615,131384.3261,0.084710744,8.47E-05,0.084710744,8.47E-05,1
40.52043031,145873.5491,0.077134986,7.71E-05,0.077134986,7.71E-05,1
45.51257214,163845.2597,0.063360882,6.34E-05,0.063360882,6.34E-05,1
47.28417748,170223.0389,0.05785124,5.79E-05,0.05785124,5.79E-05,1
48.89422411,176019.2068,0.054407713,5.44E-05,0.054407713,5.44E-05,1
50.98695231,183553.0283,0.050964187,5.10E-05,0.050964187,5.10E-05,1
53.07746433,191078.8716,0.054407713,5.44E-05,0.054183193,5.42E-05,1
55.00929867,198033.4752,0.050964187,5.10E-05,0.050964187,5.10E-05,1
56.94113302,204988.0789,0.047520661,4.75E-05,0.047520661,4.75E-05,1
59.1938686,213097.927,0.046831956,4.68E-05,0.046846834,4.68E-05,1
61.44638257,221206.9773,0.046831956,4.68E-05,0.04667893,4.67E-05,1
65.4696154,235690.6154,0.044077135,4.41E-05,0.043455479,4.35E-05,1
70.62043492,254233.5657,0.037190083,3.72E-05,0.035258094,3.53E-05,1
73.03672376,262932.2055,0.028236915,2.82E-05,0.025989875,2.60E-05,1
74.96745002,269882.8201,0.028236915,2.82E-05,0.025290585,2.53E-05,1
77.21996399,277991.8704,0.028236915,2.82E-05,0.02458024,2.46E-05,1
79.15069024,284942.4849,0.028236915,2.82E-05,0.023959928,2.40E-05,1
81.0814165,291893.0994,0.028236915,2.82E-05,0.023360475,2.34E-05,1
83.17303661,299422.9318,0.028236915,2.82E-05,0.022758595,2.28E-05,1
85.42555058,307531.9821,0.028236915,2.82E-05,0.022138624,2.21E-05,1
89.4485618,322014.8225,0.026170799,2.62E-05,0.01920172,1.92E-05,1
96.52811302,347501.2069,0.025482094,2.55E-05,0.017106388,1.71E-05,1
98.94152085,356189.4751,0.025482094,2.55E-05,0.016652813,1.67E-05,1
101.0333626,363720.1054,0.024793388,2.48E-05,0.015593196,1.56E-05,1
102.9647537,370673.1133,0.022727273,2.27E-05,0.0132519,1.33E-05,1
106.9873217,385154.3581,0.022038567,2.20E-05,0.0118972,1.19E-05,1
109.4009511,393843.424,0.021349862,2.13E-05,0.010881291,1.09E-05,1
113.5844129,408903.8864,0.020661157,2.07E-05,0.009708447,9.71E-06,1
119.3757052,429752.5387,0.023415978,2.34E-05,0.011748375,1.17E-05,1
121.3064315,436703.1534,0.023415978,2.34E-05,0.011516229,1.15E-05,1
123.237601,443655.3636,0.022038567,2.20E-05,0.010127142,1.01E-05,1
125.0074334,450026.7602,0.022038567,2.20E-05,0.009877201,9.88E-06,1
127.0988319,457555.7948,0.022727273,2.27E-05,0.010076618,1.01E-05,1
128.8706588,463934.3717,0.016528926,1.65E-05,0.004370678,4.37E-06,1
