basin_id,global_idx,J_m,R,MRT,Pe
2,25,0.1485002351804009,0.679348364289944,18.157800831545,5.164825228355923
2,0,0.1485014933887674,0.6784769998753089,18.15167755937285,5.161315293625057
2,5,0.1485021862968761,0.6788361952999049,18.17210523778418,5.149723149948425
2,19,0.148503772457103,0.6783825048547498,18.1325336025548,5.172588233563053
2,16,0.1485046312954863,0.6797693842029471,18.201990310766288,5.148694695684977
2,28,0.1485060373419685,0.6775549826912889,18.139704980366712,5.171374165795704
2,22,0.148506502332285,0.6795334702975858,18.163371734633124,5.148686469842406
2,14,0.1485068179066692,0.6801963994602604,18.216215418101555,5.134891190086526
2,21,0.1485072719514613,0.6795325837018873,18.192120412638072,5.1601187591758215
2,24,0.1485078632897764,0.6799544921505326,18.15647891077177,5.163706202603434
2,7,0.1485092035302021,0.6780800826041199,18.115540926213185,5.194003515860281
2,23,0.1485118848669109,0.6788177490237242,18.198466798530195,5.138307047238893
2,11,0.1485124221267944,0.6799208550641473,18.212684103541896,5.14878429441111
2,4,0.1485171586548946,0.6791442060252965,18.13314216823739,5.191698366815267
2,29,0.1485181653512454,0.6790794378659071,18.187402771877707,5.130175821525214
2,18,0.1485270214467767,0.6794069344091532,18.121837050031104,5.1938159395807
2,13,0.1485276271371859,0.6776558006221969,18.10013655042068,5.21525653841503
2,20,0.1485279227396116,0.6776059981651851,18.128386016794696,5.158193449598254
2,10,0.14852818737404,0.6786039911501196,18.21322263634364,5.148112759953104
2,9,0.1485300090350245,0.6782328483502011,18.20851857550659,5.139754671656091
2,2,0.148537347034856,0.6788648192997533,18.109556945537623,5.2092755583223145
2,3,0.1485374218253992,0.6795759535638931,18.144843329997627,5.142852123873334
2,8,0.1485483208438361,0.6777111852800096,18.204031613035525,5.159876486012543
2,30,0.1485496448110816,0.6779290493404172,18.127494833569656,5.216900052825771
2,15,0.1485519325334378,0.676437662223038,18.1731288292388,5.162648241183369
2,26,0.1485558881335104,0.6748388454810259,18.06529352757169,5.233631285376095
2,27,0.1485574446776355,0.6771158325338628,18.145238799101957,5.1419918043044
2,31,0.1485582703115141,0.6832595596869532,18.25663998449275,5.122852204415375
2,6,0.1485620738614621,0.6779346025972497,18.068052799663,5.191670338382014
2,1,0.1485697380263531,0.6770211354998757,18.044918032806716,5.241945900620616
2,12,0.1485723598430489,0.674288786576014,18.086835347183268,5.200794678075869
2,17,0.1485768025559314,0.6816958683024693,18.16283859119075,5.1821488752229445
