run_idx,seed,best_R,best_MRT,best_Pe,J_m,elite,J_min
1,101,0.6784769998753089,18.15167755937285,5.161315293625057,0.1485014933887674,True,0.1485002351804009
2,102,0.6770211354998757,18.044918032806716,5.241945900620616,0.1485697380263531,True,0.1485002351804009
3,103,0.6788648192997533,18.109556945537623,5.2092755583223145,0.148537347034856,True,0.1485002351804009
4,104,0.6795759535638931,18.144843329997627,5.142852123873334,0.1485374218253992,True,0.1485002351804009
5,105,0.6791442060252965,18.13314216823739,5.191698366815267,0.1485171586548946,True,0.1485002351804009
6,106,0.6788361952999049,18.17210523778418,5.149723149948425,0.1485021862968761,True,0.1485002351804009
7,107,0.6779346025972497,18.068052799663,5.191670338382014,0.1485620738614621,True,0.1485002351804009
8,108,0.6780800826041199,18.115540926213185,5.194003515860281,0.1485092035302021,True,0.1485002351804009
9,109,0.6777111852800096,18.204031613035525,5.159876486012543,0.1485483208438361,True,0.1485002351804009
10,110,0.6782328483502011,18.20851857550659,5.139754671656091,0.1485300090350245,True,0.1485002351804009
11,111,0.6786039911501196,18.21322263634364,5.148112759953104,0.14852818737404,True,0.1485002351804009
12,112,0.6799208550641473,18.212684103541896,5.14878429441111,0.1485124221267944,True,0.1485002351804009
13,113,0.674288786576014,18.086835347183268,5.200794678075869,0.1485723598430489,True,0.1485002351804009
14,114,0.6776558006221969,18.10013655042068,5.21525653841503,0.1485276271371859,True,0.1485002351804009
15,115,0.6801963994602604,18.216215418101555,5.134891190086526,0.1485068179066692,True,0.1485002351804009
16,116,0.676437662223038,18.1731288292388,5.162648241183369,0.1485519325334378,True,0.1485002351804009
17,117,0.6797693842029471,18.201990310766288,5.148694695684977,0.1485046312954863,True,0.1485002351804009
18,118,0.6816958683024693,18.16283859119075,5.1821488752229445,0.1485768025559314,True,0.1485002351804009
19,119,0.6794069344091532,18.121837050031104,5.1938159395807,0.1485270214467767,True,0.1485002351804009
20,120,0.6783825048547498,18.1325336025548,5.172588233563053,0.148503772457103,True,0.1485002351804009
21,121,0.6776059981651851,18.128386016794696,5.158193449598254,0.1485279227396116,True,0.1485002351804009
22,122,0.6795325837018873,18.192120412638072,5.1601187591758215,0.1485072719514613,True,0.1485002351804009
23,123,0.6795334702975858,18.163371734633124,5.148686469842406,0.148506502332285,True,0.1485002351804009
24,124,0.6788177490237242,18.198466798530195,5.138307047238893,0.1485118848669109,True,0.1485002351804009
25,125,0.6799544921505326,18.15647891077177,5.163706202603434,0.1485078632897764,True,0.1485002351804009
26,126,0.679348364289944,18.157800831545,5.164825228355923,0.1485002351804009,True,0.1485002351804009
27,127,0.6748388454810259,18.06529352757169,5.233631285376095,0.1485558881335104,True,0.1485002351804009
28,128,0.6771158325338628,18.145238799101957,5.1419918043044,0.1485574446776355,True,0.1485002351804009
29,129,0.6775549826912889,18.139704980366712,5.171374165795704,0.1485060373419685,True,0.1485002351804009
30,130,0.6790794378659071,18.187402771877707,5.130175821525214,0.1485181653512454,True,0.1485002351804009
31,131,0.6779290493404172,18.127494833569656,5.216900052825771,0.1485496448110816,True,0.1485002351804009
32,132,0.6832595596869532,18.25663998449275,5.122852204415375,0.1485582703115141,True,0.1485002351804009
