run_idx,seed,best_R,best_MRT,best_Pe,J_m
1,101,0.8082136713156788,23.42141545918951,3.239857063847989,0.2121562058688302
2,102,0.8059528179283908,23.225527162204525,3.27472657486965,0.2122324318543953
3,103,0.8119854222146138,23.545027602225105,3.209114836823714,0.2121691817761024
4,104,0.8053946916850114,23.482908427474865,3.216081721785393,0.2121671771634645
5,105,0.8116747198090775,23.75310993598185,3.1758341778847186,0.2121628157615778
6,106,0.8080517496143999,23.54840515636189,3.236020551401813,0.2121915221260151
7,107,0.8080354578462778,23.325695249042067,3.2800882825417457,0.2122403672129289
8,108,0.807514965781389,23.46571945668748,3.219210256223903,0.2121497000549044
9,109,0.8072209322664028,23.56411690910131,3.209511386315059,0.2121507205291213
10,110,0.8135930472930715,23.74198267099655,3.17219977566519,0.2121546867290761
11,111,0.8088324018433811,23.45132802257195,3.219411342072034,0.2121658089073819
12,112,0.8127462224143076,23.687241818560693,3.171179891271024,0.2121565085247827
13,113,0.8119088051091818,23.626451977487072,3.17870667182639,0.2121658742731829
14,114,0.8059085857544652,23.473811003474893,3.228071829091009,0.2121499083088131
15,115,0.8040500080278205,23.39606837040525,3.2374143906678423,0.212169938725419
16,116,0.8031899803681195,23.28089686806984,3.27213456341968,0.2121789802092209
17,117,0.8106259159966686,23.560647097671094,3.21146855460095,0.2121441486224528
18,118,0.8016502342883498,23.28318580986887,3.268691582281928,0.2121945848847476
19,119,0.8130557133852337,23.695680584732088,3.1758709834125423,0.2121510093908036
20,120,0.8099090778573503,23.579320779750702,3.2059771326615536,0.21213691595003
21,121,0.8102244288526619,23.52304969240117,3.2184029316466223,0.2121478816307219
22,122,0.8081966416371595,23.528596448487804,3.214044774211473,0.2121376862498955
23,123,0.8079772231506065,23.58964066460733,3.2322317505516214,0.2122223440482211
24,124,0.8025256291648392,23.22264591120173,3.2681195811682926,0.2122146687764704
25,125,0.8129318695645421,23.861289085562788,3.138732390685764,0.2121931613288522
26,126,0.806730790194412,23.48528086056509,3.201673520588203,0.2121911850607598
27,127,0.8039586421682926,23.24181504718186,3.295708395798924,0.2122158593941979
28,128,0.8069880929018017,23.703687880017974,3.1762042105147525,0.212227830249249
29,129,0.8105154528435191,23.7203661607985,3.1817045465902503,0.2121612335975176
30,130,0.8113920998269515,23.589915007669767,3.186274834982896,0.2121667043223187
31,131,0.8109517428607831,23.5079495132302,3.2078031026294944,0.2121748512858932
32,132,0.8078446755118155,23.5464341091974,3.237792290047839,0.2121983131644694
33,133,0.8121793518125059,23.55742638188709,3.222417634051899,0.2121852924938421
34,134,0.8155084505764009,23.61151493548316,3.201060898661467,0.2122371686036939
35,135,0.8134250813646612,23.830303497716404,3.149315082083639,0.2121716919285332
36,136,0.8146140689389578,23.874962039587057,3.1446581549136265,0.2121820946425997
37,137,0.8140679167095156,23.91142188720831,3.139347883337092,0.2122031404531492
38,138,0.803189385174584,23.27753213300944,3.276139715016029,0.2121815756423448
39,139,0.8124801993320695,23.89934435762737,3.1382187225755622,0.2122194063046009
40,140,0.7967202589681539,23.02922969538567,3.334988554565035,0.2123056235903324
41,141,0.8036056034474458,23.33708101376436,3.2676498293872243,0.2121767130370744
42,142,0.8154862416446907,23.917880965291637,3.1425120995147573,0.2122022033081919
43,143,0.8113032672762863,23.758448726803373,3.178036544857042,0.2121736661572647
44,144,0.8138655118622216,23.672880465242613,3.1848219563671414,0.2121638589136046
45,145,0.8062881631345519,23.488612785647696,3.227651287280347,0.212148351099841
46,146,0.8121299563479162,23.62237257398291,3.196393815449268,0.212148534049215
47,147,0.8059636077159947,23.391002818003145,3.230713753441801,0.2121702614387187
48,148,0.8047263570253002,23.34056134089677,3.2492902718769496,0.2121667153032304
49,149,0.8100041473297732,23.701927527557693,3.173074508602338,0.2121595265684905
50,150,0.8081549814360908,23.52874140054724,3.219904747015549,0.2121392654811627
51,151,0.7997155638708855,23.35716768024324,3.223149578788494,0.2123525136337469
52,152,0.8152811492255408,23.64283875659204,3.1749478796369197,0.2122282068500888
53,153,0.809664572645706,23.684532499160568,3.191218090683256,0.2121613754527979
54,154,0.8106543101799785,23.768557208156416,3.162060517584477,0.2121765374347842
55,155,0.8147270878126133,23.58972302955183,3.2165515329181247,0.2122431127749258
56,156,0.8072651129999375,23.611361358467747,3.193580334620867,0.2121678811920609
57,157,0.803674810303708,23.404673679287296,3.238456896840198,0.2121741456413151
58,158,0.8119214797905604,23.712546823014385,3.1751585842774457,0.2121464219516693
59,159,0.8143724375036366,23.83308983428008,3.14429876221757,0.2121734558234383
60,160,0.8099905070892545,23.6365246150135,3.1901804750501928,0.2121403447594576
61,161,0.813156585176859,23.759244475617606,3.172651111474556,0.2121577232715888
62,162,0.8097021090897095,23.550107979804643,3.213872902412792,0.2121389552053315
63,163,0.8108900375034024,23.58342845445701,3.2224319281185174,0.2121739588809
64,164,0.8084317513158112,23.345796545338157,3.233150333372283,0.2122369938139401
