run_idx,seed,best_R,best_MRT,best_Pe,best_J,nit,nfev,success,message
1,101,0.6784769998753089,18.151677559372846,5.161315293625057,0.14850149338876745,68,8832,True,Optimization terminated successfully.
2,102,0.6770211354998757,18.044918032806713,5.241945900620616,0.14856973802635312,68,8832,True,Optimization terminated successfully.
3,103,0.6788648192997533,18.109556945537626,5.2092755583223145,0.14853734703485602,77,9984,True,Optimization terminated successfully.
4,104,0.6795759535638931,18.144843329997627,5.142852123873334,0.1485374218253992,73,9472,True,Optimization terminated successfully.
5,105,0.6791442060252965,18.13314216823739,5.191698366815267,0.1485171586548946,73,9472,True,Optimization terminated successfully.
6,106,0.6788361952999049,18.17210523778418,5.149723149948425,0.14850218629687617,78,10112,True,Optimization terminated successfully.
7,107,0.6779346025972497,18.068052799662997,5.191670338382014,0.1485620738614621,67,8704,True,Optimization terminated successfully.
8,108,0.6780800826041199,18.115540926213185,5.194003515860281,0.14850920353020217,78,10112,True,Optimization terminated successfully.
9,109,0.6777111852800096,18.204031613035525,5.159876486012543,0.14854832084383615,75,9728,True,Optimization terminated successfully.
10,110,0.6782328483502011,18.20851857550659,5.139754671656091,0.1485300090350245,70,9088,True,Optimization terminated successfully.
11,111,0.6786039911501196,18.213222636343637,5.148112759953104,0.14852818737404005,77,9984,True,Optimization terminated successfully.
12,112,0.6799208550641473,18.212684103541896,5.14878429441111,0.1485124221267944,76,9856,True,Optimization terminated successfully.
13,113,0.674288786576014,18.086835347183268,5.200794678075869,0.14857235984304898,74,9600,True,Optimization terminated successfully.
14,114,0.6776558006221969,18.100136550420682,5.21525653841503,0.14852762713718592,72,9344,True,Optimization terminated successfully.
15,115,0.6801963994602604,18.216215418101555,5.134891190086526,0.14850681790666928,80,10368,True,Optimization terminated successfully.
16,116,0.676437662223038,18.1731288292388,5.162648241183369,0.1485519325334378,77,9984,True,Optimization terminated successfully.
17,117,0.6797693842029471,18.201990310766288,5.148694695684977,0.14850463129548633,69,8960,True,Optimization terminated successfully.
18,118,0.6816958683024693,18.16283859119075,5.1821488752229445,0.14857680255593148,62,8064,True,Optimization terminated successfully.
19,119,0.6794069344091532,18.121837050031104,5.1938159395807,0.1485270214467767,77,9984,True,Optimization terminated successfully.
20,120,0.6783825048547498,18.1325336025548,5.172588233563053,0.14850377245710303,76,9856,True,Optimization terminated successfully.
21,121,0.6776059981651851,18.128386016794696,5.158193449598254,0.14852792273961168,78,10112,True,Optimization terminated successfully.
22,122,0.6795325837018873,18.192120412638072,5.1601187591758215,0.1485072719514613,64,8320,True,Optimization terminated successfully.
23,123,0.6795334702975858,18.163371734633124,5.148686469842406,0.14850650233228507,74,9600,True,Optimization terminated successfully.
24,124,0.6788177490237242,18.198466798530195,5.138307047238893,0.14851188486691094,70,9088,True,Optimization terminated successfully.
25,125,0.6799544921505326,18.156478910771774,5.163706202603434,0.1485078632897764,72,9344,True,Optimization terminated successfully.
26,126,0.679348364289944,18.157800831545,5.164825228355923,0.1485002351804009,74,9600,True,Optimization terminated successfully.
27,127,0.6748388454810259,18.06529352757169,5.233631285376095,0.1485558881335104,70,9088,True,Optimization terminated successfully.
28,128,0.6771158325338628,18.145238799101953,5.1419918043044,0.14855744467763557,72,9344,True,Optimization terminated successfully.
29,129,0.6775549826912889,18.139704980366712,5.171374165795704,0.14850603734196852,81,10496,True,Optimization terminated successfully.
30,130,0.6790794378659071,18.187402771877707,5.130175821525214,0.14851816535124543,62,8064,True,Optimization terminated successfully.
31,131,0.6779290493404172,18.127494833569656,5.216900052825771,0.14854964481108163,75,9728,True,Optimization terminated successfully.
32,132,0.6832595596869532,18.25663998449275,5.122852204415375,0.14855827031151417,74,9600,True,Optimization terminated successfully.
